"variable","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"z_39",0.03914529034289,-0.0223210495698983,0.0952408762599126,0.0563734196416433,-0.00225959805296781,-0.0181473126855128,0.00924414304572042,-0.0249630005421424,0.0211571051489862,0.00138278431227448
"z_40",0.0500117934066597,0.0034367664668891,-0.0159950452465008,0.0559376931701556,-0.0383209996779816,-0.0180514596887577,0.00340380993433307,-0.0427602298004774,-0.00352613333956346,-0.111807351445393
"z_41",-0.0919920194797905,-0.0135349996770153,0.0505142798053893,-0.0486765676709358,0.0497441237483487,-0.0213427351551385,-0.0111878911532959,0.0337907658115741,-0.015299149578982,0.0200996194731565
"z_42",-0.0425436596457978,0.0205754582155821,-0.0290577022255957,-0.0295781116418173,-0.0730310801887349,-0.0311611131534698,0.0834237243551832,0.0487363171260114,0.0431335872441913,0.0373435780748527
"z_43",-0.0171082539263578,-0.025872867185837,-0.0205385671907743,0.0267953333040465,0.0383481792370294,-0.0545955250469791,0.0125868115081099,0.0913215450216518,-0.0413007777826165,-0.057507546770317
"z_44",0.0377915736043704,0.0104579217952647,-0.0421882139851857,0.0154452513126146,0.032325859509578,-0.0525796818892272,-0.0783686718436896,0.00320700015487618,0.000988881429807568,-0.0403482568460113
"z_45",-0.0514741314644027,0.012509150162424,-0.0333673841891288,-0.085242703670797,0.0224531189391427,0.0575338062352483,-0.0611040585096594,-0.0159955801521277,0.0330185203693765,-0.0488455616989251
"z_46",-0.0646126394042292,0.00366342967627062,0.0832087777448225,-0.0342829017256367,-0.0628719014223268,-0.0177511345985554,-0.00414692610411633,0.0920457832518781,0.00987288303056931,-0.0354971152622264
"z_47",0.029097474432307,-0.0292890953185447,0.0199737150032386,0.011797668060589,-0.0186851129905031,-0.0485970845385371,-0.061831108577597,0.0245699827336605,-0.0121310031065433,-0.0312606194634343
"z_48",-0.0400965582643148,-0.0369936002248656,-0.0328555654262553,-0.0155209041680315,0.0293243134442928,0.0899702981709209,0.00961761975318945,0.0868396959348156,0.0264933024061575,0.00400121435988907
"z_49",-0.00272038755986526,-0.0361942453446388,0.0199037706181796,0.00529005627147222,-0.0166475396683095,0.0551267024433362,-0.0120085580457753,0.0786282718961256,-0.0177836584116027,-0.0016904715719225
"z_50",0.0110931514530334,0.106478115922093,-0.0061410095067884,-0.0602918378972224,0.00887294412279878,-0.0334233672686913,0.0354508865004121,-0.0154336876570531,-0.013482666218923,-0.0455577343268213
"z_51",-0.0667583684333974,0.00567308972018089,0.00125968645981887,0.0427120421384317,0.0449468952580764,-0.0201740434739443,0.00270555271601108,0.0972448522657539,0.0466828671699164,-0.0473986073168193
"z_52",0.016306513194472,0.0525465514414827,-0.0464397092774948,-0.026722847088935,0.0394285467580179,-0.0373995209790016,-0.0114685615142529,0.0480499942998094,0.0221238900451474,0.0865145942332034
"z_53",0.0740378007247842,-0.00744010271480732,-0.0195918420173788,-0.0416023661239084,0.0741453390009906,0.0237935749412541,0.00574054493899242,0.0417176387951581,0.00918290931897209,-0.00348909522381798
"z_54",0.00598510888087921,0.00292493756456207,0.00166311589462908,0.0993484623751781,0.00344682143465485,-0.00567553999704406,-0.00712129814368782,-0.00789285698869002,-0.0686298073910225,0.0121503112868081
