"variable","center","scale"
"z_95",0.148566579397847,1.35940298182348
"z_96",-0.0120834793307989,1.14209223646019
"z_97",0.0219353512887767,1.20142765583346
"z_98",0.00662057255175031,1.27113443335325
"z_99",-0.0353433170463013,1.34309657654227
"z_100",-0.0100894522253665,1.14538148449577
"z_101",0.0824480848720424,1.20336774877421
"z_102",-0.0739103311682826,1.25381178748171
"z_103",-0.0390794484477429,0.930681685026674
"z_104",0.140934098450438,1.26269974615411
"z_105",-0.100582898843249,1.07109916959653
"z_106",0.0126545736382941,1.1476465297859
"z_107",-0.0668005679265246,1.12571482195254
"z_108",0.0605438033772744,0.98777892435611
"z_109",-0.118846267479933,1.13998348026895
"z_110",-0.00435785109267947,1.21461960190308
"z_111",-0.0374839292928472,1.17417588618185
"z_112",-0.0646145603930158,1.17587958704672
"z_113",-0.0973129845604092,0.95132235989974
"z_114",-0.019945939229538,1.08693075748233
"z_115",0.0706100832121393,1.02353566839256
"z_116",-0.00614259249333937,1.21096798824549
"z_117",0.0733896023020067,1.18923626734521
"z_118",-0.0711350001180503,1.26295900079362
"z_119",-0.0388160864102194,0.89441619473813
"z_120",-0.0591449578764953,1.24552927379014
"z_121",-0.0858785837189091,1.08223703259002
"z_122",0.0274189583857806,1.19940856391039
"z_123",-0.000429202965382544,1.33035687192854
"z_124",-0.00998298789067317,1.29035626487715
"z_125",0.0115353598331443,1.20827056134717
"z_126",-0.019478699473829,1.06742181163484
"z_127",0.0212839752592502,1.10259815825175
"z_128",-0.000367861675578204,1.04804140538283
"z_129",-0.020376405345116,1.14042724538359
"z_130",-0.0417816236116485,1.36433535383132
"z_131",0.0586961875872573,1.12960588430942
"z_132",-0.00521017172785007,1.07074125421255
"z_133",0.00157316464331313,1.21287470849985
"z_134",0.0657378118403509,1.16208762680087
"z_135",-0.0725449500580247,1.0195952188761
"z_136",0.0281345703602744,1.11456708673237
"z_137",0.00535998029025848,1.09693043220065
"z_138",0.00442745067216054,1.13384631194795
"z_139",0.0182325002600531,1.04016328389924
"z_140",0.0055143778702625,1.20395510899643
"z_141",-0.0411588822167779,1.08025573166055
"z_142",-0.0134946572011289,1.23909211073872
"z_143",0.046589145701025,1.31916793533156
"z_144",0.0320846227026354,1.23642495399952
"z_145",-0.0945663690839228,1.2907328388737
"z_146",0.0149642124402824,1.28616401959894
"z_147",0.0651060099163399,1.22323300898831
"z_148",0.0320720345794196,1.11496399810471
"z_149",-0.0399352655326058,1.06500738127502
"z_150",0.069357166795241,1.30671359269631
"z_151",-0.0269905422287688,1.24101297838319
"z_152",-0.00470137703145552,1.15107185700368
"z_153",-0.000337192452221473,1.16652025691269
"z_154",-0.0313853639333283,1.07217957643111
"z_155",-0.0180677623461817,1.23409638011093
"z_156",-0.0491677270136022,1.1126355839176
"z_157",-0.0680213938412063,1.16483525395204
"z_158",-0.0308179432073888,1.12383442948755
"z_159",0.0370572463529188,1.21778374784743
"z_160",-0.0222066914092944,1.10587089741548
"z_161",0.00159856773190147,1.0856739855322
"z_162",0.0293131380000439,1.21877040393427
"z_163",0.0308524395185769,1.09067855111922
"z_164",0.112498786864379,1.08909023289789
"z_165",-0.0137268067949006,1.21705903866445
"z_166",-0.0222861814988156,1.10389948472087
"z_167",-0.0331126628830263,1.12934632106938
"z_168",-0.0715198251842251,1.3394275704061
"z_169",0.0558200138207974,1.17732039275006
"z_170",-0.0238338816281426,1.21231681553498
"z_171",0.0183833390480035,1.11245223011688
"z_172",0.0265727936981459,1.05775489674393
"z_173",-0.0110737618065376,1.06798462660601
"z_174",-0.0691551370852527,1.03838047561974
"z_175",0.0102251954067366,1.21370596554882
"z_176",-0.0420201370941982,1.07129867100605
"z_177",-0.0232292794724829,1.25166476466964
"z_178",-0.0187510533134149,0.991244421478906
"z_179",0.0512681040897097,1.15243707200946
"z_180",-0.0969876233108836,0.940603152063772
"z_181",-0.0844548123408636,1.08426588155468
"z_182",0.0678023551150112,1.05504978905935
"z_183",0.00568158077912953,1.04184053313261
"z_184",-0.0593661302609857,1.16103720866052
"z_185",-0.000698668611653144,1.22267373902134
"z_186",0.028140232129573,1.25914637474139
"z_187",0.063895318049391,1.33458099681078
"z_188",-0.0925678482379781,1.04072847203999
"z_189",0.0210302129864865,1.05470419467831
"z_190",-0.0513104004888473,1.3364617394601
"z_191",-0.0514351506902598,1.09675116649058
"z_192",0.0465898353884457,0.957035847326622
"z_193",0.00927340179585482,1.05709209656746
"z_194",0.0481575465058371,1.23293645668052
"z_195",0.061563433888042,1.08201772654016
"z_196",-0.0421434881409659,0.858576947570345
"z_197",-0.00916943685194842,1.31604586454642
"z_198",-0.0241437849098032,1.09383106483011
"z_199",0.0321921845277899,1.18530861691508
"z_200",0.0901491594755332,1.30820153118464
"z_201",-0.0460787177491504,1.04595777729215
"z_202",-0.00244390394686179,1.17441897416897
"z_203",-0.0550294119080346,1.42650961572497
"z_204",0.0103549380651586,1.35461838711114
"z_205",-0.0360872145534926,1.20028012965592
"z_206",0.0267063090368923,1.13856331851872
"z_207",0.0890796056390226,1.30648870324729
"z_208",-0.00572751184263132,1.06849961288334
"z_209",0.00114236399739827,1.17630597406645
"z_210",0.0107276435322661,1.17936860418911
"z_211",0.109572612235999,1.2726936562113
"z_212",-0.00396601611453733,1.17437708864256
"z_213",0.0153557905935572,1.09839390375176
"z_214",-0.0297768416223851,1.09289027434881
"z_215",0.0476748901477005,1.06452383214687
"z_216",0.00443217243884656,1.2460381773622
"z_217",-0.0388594375754959,1.13319324359402
"z_218",0.0427034084243576,1.08429653345112
"z_219",0.0296342455303508,1.06696257420015
"z_220",-0.0659531755661367,1.12815214872678
"z_221",0.126011957369797,1.12056783377192
"z_222",-0.000696832114984808,1.14929705493783
"z_223",0.029890924499528,1.10187138823724
"z_224",0.0103088584605311,1.08807023760663
"z_225",-0.0218300411659316,1.08565198202252
"z_226",0.0623091207887469,1.0311799169641
"z_227",-0.00643394150290695,1.01997154330923
"z_228",-0.0311754441508837,1.29905745966738
"z_229",0.0160607760588864,1.21821793204461
"z_230",-0.038336083872453,1.05135294130533
"z_231",-0.0167727928962773,1.07936939458046
"z_232",-0.000629027411242143,1.28853367186342
"z_233",-0.0110442550072392,1.13485877934717
"z_234",0.103550146784522,1.28947481248647
"z_235",-0.0615201891013962,1.02435847726008
"z_236",0.0756974041310238,1.07691416116745
"z_237",0.0194015359249249,1.1836396870417
"z_238",0.00904507932263168,1.18695144673062
"z_239",0.086726303859654,1.10707455270603
"z_240",0.0433983545552727,1.02956306114501
"z_241",-0.0848147805329356,1.16101365356191
"z_242",-0.0459983321786671,1.37638265539823
"z_243",-0.0639289333342337,1.20733245966271
"z_244",-0.074148514133902,1.30461802693831
"z_245",-0.0453664573900545,1.16848542908509
"z_246",-0.0587555777349088,1.3344664700851
"z_247",0.0119695973927302,1.15824000852971
"z_248",-0.0322212979383168,1.09147443358223
"z_249",-0.092983654437826,1.1234926730421
"z_250",0.0578071678926736,1.04639456184414
"z_251",0.0539881931299446,1.28808503553408
"z_252",-0.0375988456929181,1.29553394459179
"z_253",-0.00103386547290699,1.03197736644117
"z_254",0.00542066284871981,1.1626761725787
"z_255",0.0261251805484004,1.20464160671765
"z_256",-0.0452425295334129,1.10248686280897
"z_257",-0.0181093616266175,1.04046014318197
"z_258",0.0628746562577573,1.03137094083393
"z_259",-0.0450182200435597,1.08963823233916
"z_260",0.0105623249099712,1.2049913461001
"z_261",-0.00270705193297582,1.21508106573827
"z_262",0.0173083029928078,1.09537124217986
"z_263",0.0046537888103096,1.0763172579299
"z_264",0.0559674119832683,1.11526947709591
"z_265",-0.0260589017007138,1.26994954456172
"z_266",-0.0808595378359236,1.07948889770029
"z_267",0.0802895334484053,1.06933290284153
"z_268",0.0438799855153269,1.16291213666592
"z_269",0.0155260117009445,1.09138143924683
"z_270",0.0570713065239599,1.1916994256119
"z_271",0.0224928199504391,1.03594194661133
"z_272",-0.00118038828287246,1.13289929339432
"z_273",0.0209169308808621,1.10828330097882
"z_274",-0.0362732083264641,1.416876596222
"z_275",0.0210606474847975,1.07525059535705
"z_276",-0.0917736706971668,1.20880055661063
"z_277",0.0442424679594701,1.03509829098886
"z_278",-0.0183305814589905,1.17577880975262
